Ref Des,Mid X (mm),Mid Y (mm),Rotation,Comment,Package,LCSC Part number,LCSC Part number
C1,31.84,3.79,270,2.2uF,CAPC2012X110,CL21A225KOFNNNE,C1731
C10,42.67,4.16,270,100nF,CAPC1005X60,CL05B104KO5NNNC,C1525
C2,15.85,10.18,90,12pF,CAPC1005X60,0402CG120J500NT,C1547
C3,16.64,15.75,0,12pF,CAPC1005X60,0402CG120J500NT,C1547
C6,21.72,16,270,100nF,CAPC1005X60,CL05B104KO5NNNC,C1525
C7,35.34,4.05,270,100nF,CAPC1005X60,CL05B104KO5NNNC,C1525
C8,30.95,13.5,180,100nF,CAPC1005X60,CL05B104KO5NNNC,C1525
C9,17.42,10.17,270,100nF,CAPC1005X60,CL05B104KO5NNNC,C1525
D1,17.14,18.29,90,KT-0603R,LED_KT-0603R,BL-HUF36D-AV-TRB,C94740
D2,19.18,18.29,90,SM0603GC,LED_SM0603GC,P0603P1N46G12,C5123548
JP1,25.38,3.11,180,PINHD-1X3,1X03,,
JP2,36.58,37.59,0,PINHD-1X4,1X04,,
JP3,36.88,14.78,90,PINHD-2X4,2X04,,
JP4,15.75,37.59,0,PINHD-1X4,1X04,,
L1,19.6,8.5,270,10uH,INDC2009X120,SDFL2012S100KTF,C5123548
P1,46.97,11.97,270,S2B-PH-SM4-TB,JST_S2B-PH-SM4-TB,HCZZ0021-2,C7433707
P2,46.92,22.03,270,S2B-PH-SM4-TB,JST_S2B-PH-SM4-TB,HCZZ0021-2,C7433707
P:C1,4.09,15.62,180,4.7uF,CAPC3216X135,CL31A475KAHNNNE,C11044
P:C2,2.54,11.21,270,100nF,CAPC1005X60,0402F104M500NT,C1581
P:C3,1.88,8.17,180,100nF,CAPC1005X60,CL05B104KO5NNNC,C1525
P:C4,5.73,6.74,270,22 uF,CAPC2012X110,CL21A226MAQNNNE,C7419435
P:C5,10.45,8.27,0,0.47 uF,CAPC1608X85,GRM188R7YA474KE05D,C162281
P:C6,7.46,3.63,90,22 uF,CAPC2012X110,CL21A226MAQNNNE,C45783
P:C7,8.03,6.77,270,22 uF,CAPC2012X110,CL21A226MAQNNNE,C45783
P:C8,9.94,3.6,90,10uF,CAPC2012X110,CL21A106KAYNNNE,C15850
P:F1,3.89,18.74,0,3A,FUSC3215X82N,0468003.NRHF,C41342
P:L1,2.52,6.15,0,10uH,INDC2009X120,SDFL2012S100KTF,C1046
P:Q2,9.15,16.48,90,IRF7404TRPBFIRF7404TRPBF_INF,IRF7404TRPBF_INF,IRF7404TRPBF,C2997
P:R1,11.2,11.61,90,10k,RESC1005X40,0402WGJ0103TCE,C25531
P:R2,9.67,11.63,270,100k,RESC1005X40,0402WGF1003TCE,C25741
P:R3,7.84,11.44,90,19.1k,RESC1608X60,RC0603FR-0719K1L,C173754
P:U1,4.95,11.3,270,LMR51625XDDCRDDC0006A-MFG,DDC0006A-MFG,,
P:VR1,16.5,4.69,0,LM3940IMP-3.3/NOPB,VREG_LM3940IMP-3.3/NOPB,,C140319
R1,17.19,20.62,270,5.1K,RESC1005X40,0402WGF5101TCE,C25905
R2,19.17,20.62,270,1K,RESC1005X40,0402WGF1001TCE,C11702
R3,42.43,8.57,90,5.1K,RESC1005X40,0402WGF5101TCE,C140319
R4,36.96,25.4,270,1 k,RESC1005X40,0402WGF1001TCE,C11702
R5,38.43,25.44,270,1k,RESC1005X40,0402WGF1001TCE,C11702
R6,16.42,25.1,270,1k,RESC1005X40,0402WGF1001TCE,C11702
R7,17.94,25.14,270,1k,RESC1005X40,0402WGF1001TCE,C11702
R8,40.64,20.83,0,5.1K,RESC1005X40,0402WGF5101TCE,C140319
S1,38.99,4.06,0,TS-1187A-B-A-B,SW_TS-1187A-B-A-B,TS-1187A-B-A-B,C318884
SD1:C1,31.14,31.52,270,100 nF,CAPC1005X60,0402F104M500NT,C1581
SD1:C10,8.13,29.21,180,22 uF,CAPC2012X110,CL21A226MAQNNNE,C45783
SD1:C11,8.12,24.62,180,22 uF,CAPC2012X110,CL21A226MAQNNNE,C45783
SD1:C2,26.93,24.95,180,22 uF,CAPC2012X110,CL21A226MAQNNNE,C45783
SD1:C3,31.16,25.52,270,100 nF,CAPC1005X60,0402F104M500NT,C1581
SD1:C4,26.93,31.75,180,22 uF,CAPC2012X110,CL21A226MAQNNNE,C45783
SD1:C5,31.14,29.53,270,22 nF,CAPC1005X60,0402B223K500NT,C45783
SD1:C6,40.84,27.75,270,100 nF,CAPC1005X60,0402F104M500NT,C1581
SD1:C7,26.92,29.46,180,22 uF,CAPC2012X110,CL21A226MAQNNNE,C45783
SD1:C8,35.42,25.41,90,2.2 uF,CAPC1005X60,CL05A225MQ5NSNC,C12530
SD1:C9,31.15,27.6,90,100 nF,CAPC1005X60,0402F104M500NT,C1581
SD1:R1,45.64,37.21,90,150 m,RESC5025X71,RTT20R15JTE,C159212
SD1:R2,28.54,37.17,90,150 m,RESC5025X71,RTT20R15JTE,C159212
SD1:U1,37.11,29.62,0,TMC2209-LA-TQFN28_5X5_3X8_EPAD_TRI,QFN28_5X5_3X8_EPAD_TRI,C2150710,C2150710
SD2:C1,12.15,30.17,270,100 nF,CAPC1005X60,0402F104M500NT,C1581
SD2:C10,8.11,26.88,180,22 uF,CAPC2012X110,CL21A226MAQNNNE,C45783
SD2:C11,8.13,22.35,180,22 uF,CAPC2012X110,CL21A226MAQNNNE,C45783
SD2:C2,26.93,22.7,180,22 uF,CAPC2012X110,CL21A226MAQNNNE,C45783
SD2:C3,12.21,24.22,270,100 nF,CAPC1005X60,0402F104M500NT,C1581
SD2:C4,8.13,31.5,180,22 uF,CAPC2012X110,CL21A226MAQNNNE,C45783
SD2:C5,12.15,28.07,270,22 nF,CAPC1005X60,0402B223K500NT,C45783
SD2:C6,20.18,27.16,270,100 nF,CAPC1005X60,0402F104M500NT,C1581
SD2:C7,26.93,27.19,180,22 uF,CAPC2012X110,CL21A226MAQNNNE,C45783
SD2:C8,14.92,25.08,90,2.2 uF,CAPC1005X60,CL05A225MQ5NSNC,C12530
SD2:C9,12.16,26.09,90,100 nF,CAPC1005X60,0402F104M500NT,C1581
SD2:R1,24.58,37.24,90,150 m,RESC5025X71,RTT20R15JTE,C159212
SD2:R2,7.76,37.27,90,150 m,RESC5025X71,RTT20R15JTE,C159212
SD2:U1,16.61,29.54,0,TMC2209-LA-TQFN28_5X5_3X8_EPAD_TRI,QFN28_5X5_3X8_EPAD_TRI,C2150710,C2150710
U$1,2.67,25.93,90,XT30UPB-M,XT30UPB-M,,C428721
U1,25.53,10.92,0,STM32F411CEU6,QFN50P700X700X60-49N,,C60420
Y1,16,13.36,0,TSX-3225_16.0000MF18X-AC3,XTAL_TSX-3225_16.0000MF18X-AC3,,C13738
